episode 75 of 1000 complete,  explore val = 0.01, episode reward = 46.0, ave reward = 46.0
episode 76 of 1000 complete,  explore val = 0.01, episode reward = 49.0, ave reward = 49.0
episode 77 of 1000 complete,  explore val = 0.01, episode reward = 500.0, ave reward = 500.0
episode 78 of 1000 complete,  explore val = 0.01, episode reward = 41.0, ave reward = 41.0
episode 79 of 1000 complete,  explore val = 0.01, episode reward = 40.0, ave reward = 40.0
episode 80 of 1000 complete,  explore val = 0.01, episode reward = 133.0, ave reward = 133.0
episode 81 of 1000 complete,  explore val = 0.01, episode reward = 87.0, ave reward = 87.0
episode 82 of 1000 complete,  explore val = 0.01, episode reward = 37.0, ave reward = 37.0
episode 83 of 1000 complete,  explore val = 0.01, episode reward = 68.0, ave reward = 68.0
episode 84 of 1000 complete,  explore val = 0.01, episode reward = 71.0, ave reward = 71.0
episode 85 of 1000 complete,  explore val = 0.01, episode reward = 63.0, ave reward = 63.0
episode 86 of 1000 complete,  explore val = 0.01, episode reward = 61.0, ave reward = 61.0
episode 87 of 1000 complete,  explore val = 0.01, episode reward = 31.0, ave reward = 31.0
episode 88 of 1000 complete,  explore val = 0.01, episode reward = 46.0, ave reward = 46.0
episode 89 of 1000 complete,  explore val = 0.01, episode reward = 51.0, ave reward = 51.0
episode 90 of 1000 complete,  explore val = 0.01, episode reward = 39.0, ave reward = 39.0
episode 91 of 1000 complete,  explore val = 0.01, episode reward = 39.0, ave reward = 39.0
episode 92 of 1000 complete,  explore val = 0.01, episode reward = 379.0, ave reward = 379.0
episode 93 of 1000 complete,  explore val = 0.01, episode reward = 75.0, ave reward = 75.0
episode 94 of 1000 complete,  explore val = 0.01, episode reward = 43.0, ave reward = 43.0
episode 95 of 1000 complete,  explore val = 0.01, episode reward = 89.0, ave reward = 89.0
episode 96 of 1000 complete,  explore val = 0.01, episode reward = 51.0, ave reward = 51.0
episode 97 of 1000 complete,  explore val = 0.01, episode reward = 89.0, ave reward = 89.0
episode 98 of 1000 complete,  explore val = 0.01, episode reward = 49.0, ave reward = 49.0
episode 99 of 1000 complete,  explore val = 0.01, episode reward = 293.0, ave reward = 293.0
episode 100 of 1000 complete,  explore val = 0.01, episode reward = 88.0, ave reward = 88.0
episode 101 of 1000 complete,  explore val = 0.01, episode reward = 53.0, ave reward = 69.4
episode 102 of 1000 complete,  explore val = 0.01, episode reward = 240.0, ave reward = 71.0
episode 103 of 1000 complete,  explore val = 0.01, episode reward = 89.0, ave reward = 71.8
episode 104 of 1000 complete,  explore val = 0.01, episode reward = 82.0, ave reward = 72.5
episode 105 of 1000 complete,  explore val = 0.01, episode reward = 47.0, ave reward = 72.9
episode 106 of 1000 complete,  explore val = 0.01, episode reward = 50.0, ave reward = 73.3
episode 107 of 1000 complete,  explore val = 0.01, episode reward = 207.0, ave reward = 75.2
episode 108 of 1000 complete,  explore val = 0.01, episode reward = 130.0, ave reward = 76.4
episode 109 of 1000 complete,  explore val = 0.01, episode reward = 355.0, ave reward = 79.9
episode 110 of 1000 complete,  explore val = 0.01, episode reward = 170.0, ave reward = 81.4
episode 111 of 1000 complete,  explore val = 0.01, episode reward = 50.0, ave reward = 81.8
episode 112 of 1000 complete,  explore val = 0.01, episode reward = 57.0, ave reward = 82.3
episode 113 of 1000 complete,  explore val = 0.01, episode reward = 233.0, ave reward = 84.5
episode 114 of 1000 complete,  explore val = 0.01, episode reward = 92.0, ave reward = 85.3
episode 115 of 1000 complete,  explore val = 0.01, episode reward = 500.0, ave reward = 90.2
episode 116 of 1000 complete,  explore val = 0.01, episode reward = 500.0, ave reward = 95.0
episode 117 of 1000 complete,  explore val = 0.01, episode reward = 229.0, ave reward = 96.8
episode 118 of 1000 complete,  explore val = 0.01, episode reward = 221.0, ave reward = 98.6
episode 119 of 1000 complete,  explore val = 0.01, episode reward = 106.0, ave reward = 99.1
episode 120 of 1000 complete,  explore val = 0.01, episode reward = 79.0, ave reward = 99.5
episode 121 of 1000 complete,  explore val = 0.01, episode reward = 59.0, ave reward = 99.5
episode 122 of 1000 complete,  explore val = 0.01, episode reward = 357.0, ave reward = 102.8
episode 123 of 1000 complete,  explore val = 0.01, episode reward = 395.0, ave reward = 106.4
episode 124 of 1000 complete,  explore val = 0.01, episode reward = 203.0, ave reward = 107.8
episode 125 of 1000 complete,  explore val = 0.01, episode reward = 61.0, ave reward = 107.8
episode 126 of 1000 complete,  explore val = 0.01, episode reward = 76.0, ave reward = 108.0
episode 127 of 1000 complete,  explore val = 0.01, episode reward = 94.0, ave reward = 108.6
episode 128 of 1000 complete,  explore val = 0.01, episode reward = 72.0, ave reward = 108.9
episode 129 of 1000 complete,  explore val = 0.01, episode reward = 50.0, ave reward = 107.3
episode 130 of 1000 complete,  explore val = 0.01, episode reward = 189.0, ave reward = 107.6
episode 131 of 1000 complete,  explore val = 0.01, episode reward = 305.0, ave reward = 110.2
episode 132 of 1000 complete,  explore val = 0.01, episode reward = 144.0, ave reward = 109.7
episode 133 of 1000 complete,  explore val = 0.01, episode reward = 60.0, ave reward = 109.9
episode 134 of 1000 complete,  explore val = 0.01, episode reward = 500.0, ave reward = 114.3
episode 135 of 1000 complete,  explore val = 0.01, episode reward = 86.0, ave reward = 114.5
episode 136 of 1000 complete,  explore val = 0.01, episode reward = 154.0, ave reward = 114.0
episode 137 of 1000 complete,  explore val = 0.01, episode reward = 45.0, ave reward = 114.1
episode 138 of 1000 complete,  explore val = 0.01, episode reward = 54.0, ave reward = 114.1
episode 139 of 1000 complete,  explore val = 0.01, episode reward = 57.0, ave reward = 114.1
episode 140 of 1000 complete,  explore val = 0.01, episode reward = 76.0, ave reward = 111.5
episode 141 of 1000 complete,  explore val = 0.01, episode reward = 239.0, ave reward = 113.4
episode 142 of 1000 complete,  explore val = 0.01, episode reward = 279.0, ave reward = 115.2
episode 143 of 1000 complete,  explore val = 0.01, episode reward = 63.0, ave reward = 115.4
episode 144 of 1000 complete,  explore val = 0.01, episode reward = 258.0, ave reward = 116.4
episode 145 of 1000 complete,  explore val = 0.01, episode reward = 178.0, ave reward = 117.5
episode 146 of 1000 complete,  explore val = 0.01, episode reward = 69.0, ave reward = 117.1
episode 147 of 1000 complete,  explore val = 0.01, episode reward = 69.0, ave reward = 117.1
episode 148 of 1000 complete,  explore val = 0.01, episode reward = 296.0, ave reward = 119.6
episode 149 of 1000 complete,  explore val = 0.01, episode reward = 92.0, ave reward = 120.2
episode 150 of 1000 complete,  explore val = 0.01, episode reward = 55.0, ave reward = 120.5
episode 151 of 1000 complete,  explore val = 0.01, episode reward = 73.0, ave reward = 120.6
episode 152 of 1000 complete,  explore val = 0.01, episode reward = 390.0, ave reward = 124.2
episode 153 of 1000 complete,  explore val = 0.01, episode reward = 217.0, ave reward = 125.9
episode 154 of 1000 complete,  explore val = 0.01, episode reward = 305.0, ave reward = 128.7
episode 155 of 1000 complete,  explore val = 0.01, episode reward = 51.0, ave reward = 128.7
episode 156 of 1000 complete,  explore val = 0.01, episode reward = 113.0, ave reward = 129.4
episode 157 of 1000 complete,  explore val = 0.01, episode reward = 207.0, ave reward = 130.3
episode 158 of 1000 complete,  explore val = 0.01, episode reward = 500.0, ave reward = 134.8
episode 159 of 1000 complete,  explore val = 0.01, episode reward = 165.0, ave reward = 136.1
episode 160 of 1000 complete,  explore val = 0.01, episode reward = 77.0, ave reward = 136.4
episode 161 of 1000 complete,  explore val = 0.01, episode reward = 213.0, ave reward = 137.8
episode 162 of 1000 complete,  explore val = 0.01, episode reward = 344.0, ave reward = 140.8
episode 163 of 1000 complete,  explore val = 0.01, episode reward = 295.0, ave reward = 143.1
episode 164 of 1000 complete,  explore val = 0.01, episode reward = 58.0, ave reward = 142.7
episode 165 of 1000 complete,  explore val = 0.01, episode reward = 39.0, ave reward = 142.4
episode 166 of 1000 complete,  explore val = 0.01, episode reward = 32.0, ave reward = 142.2
episode 167 of 1000 complete,  explore val = 0.01, episode reward = 43.0, ave reward = 142.1
episode 168 of 1000 complete,  explore val = 0.01, episode reward = 50.0, ave reward = 142.2
episode 169 of 1000 complete,  explore val = 0.01, episode reward = 62.0, ave reward = 142.4
episode 170 of 1000 complete,  explore val = 0.01, episode reward = 37.0, ave reward = 142.4
episode 171 of 1000 complete,  explore val = 0.01, episode reward = 57.0, ave reward = 142.4
episode 172 of 1000 complete,  explore val = 0.01, episode reward = 59.0, ave reward = 142.0
episode 173 of 1000 complete,  explore val = 0.01, episode reward = 49.0, ave reward = 142.0
episode 174 of 1000 complete,  explore val = 0.01, episode reward = 500.0, ave reward = 146.2
episode 175 of 1000 complete,  explore val = 0.01, episode reward = 102.0, ave reward = 146.8
episode 176 of 1000 complete,  explore val = 0.01, episode reward = 500.0, ave reward = 151.3
episode 177 of 1000 complete,  explore val = 0.01, episode reward = 78.0, ave reward = 147.0
episode 178 of 1000 complete,  explore val = 0.01, episode reward = 75.0, ave reward = 147.4
episode 179 of 1000 complete,  explore val = 0.01, episode reward = 499.0, ave reward = 152.0
episode 180 of 1000 complete,  explore val = 0.01, episode reward = 76.0, ave reward = 151.4
episode 181 of 1000 complete,  explore val = 0.01, episode reward = 69.0, ave reward = 151.2
episode 182 of 1000 complete,  explore val = 0.01, episode reward = 307.0, ave reward = 153.9
episode 183 of 1000 complete,  explore val = 0.01, episode reward = 68.0, ave reward = 153.9
episode 184 of 1000 complete,  explore val = 0.01, episode reward = 96.0, ave reward = 154.2
episode 185 of 1000 complete,  explore val = 0.01, episode reward = 500.0, ave reward = 158.5
episode 186 of 1000 complete,  explore val = 0.01, episode reward = 422.0, ave reward = 162.2
episode 187 of 1000 complete,  explore val = 0.01, episode reward = 480.0, ave reward = 166.6
episode 188 of 1000 complete,  explore val = 0.01, episode reward = 432.0, ave reward = 170.5
episode 189 of 1000 complete,  explore val = 0.01, episode reward = 476.0, ave reward = 174.8
episode 190 of 1000 complete,  explore val = 0.01, episode reward = 339.0, ave reward = 177.8
