training episode 97 of 300 complete,  explore val = 0.01, episode reward = 306.0
training episode 98 of 300 complete,  explore val = 0.01, episode reward = 79.0
training episode 99 of 300 complete,  explore val = 0.01, episode reward = 61.0
training episode 100 of 300 complete,  explore val = 0.01, episode reward = 65.0
training episode 101 of 300 complete,  explore val = 0.01, episode reward = 295.0
training episode 102 of 300 complete,  explore val = 0.01, episode reward = 85.0
training episode 103 of 300 complete,  explore val = 0.01, episode reward = 439.0
training episode 104 of 300 complete,  explore val = 0.01, episode reward = 80.0
training episode 105 of 300 complete,  explore val = 0.01, episode reward = 118.0
training episode 106 of 300 complete,  explore val = 0.01, episode reward = 336.0
training episode 107 of 300 complete,  explore val = 0.01, episode reward = 129.0
training episode 108 of 300 complete,  explore val = 0.01, episode reward = 389.0
training episode 109 of 300 complete,  explore val = 0.01, episode reward = 421.0
training episode 110 of 300 complete,  explore val = 0.01, episode reward = 89.0
training episode 111 of 300 complete,  explore val = 0.01, episode reward = 85.0
training episode 112 of 300 complete,  explore val = 0.01, episode reward = 97.0
training episode 113 of 300 complete,  explore val = 0.01, episode reward = 69.0
training episode 114 of 300 complete,  explore val = 0.01, episode reward = 400.0
training episode 115 of 300 complete,  explore val = 0.01, episode reward = 63.0
training episode 116 of 300 complete,  explore val = 0.01, episode reward = 72.0
training episode 117 of 300 complete,  explore val = 0.01, episode reward = 82.0
training episode 118 of 300 complete,  explore val = 0.01, episode reward = 50.0
training episode 119 of 300 complete,  explore val = 0.01, episode reward = 86.0
training episode 120 of 300 complete,  explore val = 0.01, episode reward = 99.0
training episode 121 of 300 complete,  explore val = 0.01, episode reward = 122.0
training episode 122 of 300 complete,  explore val = 0.01, episode reward = 57.0
training episode 123 of 300 complete,  explore val = 0.01, episode reward = 70.0
training episode 124 of 300 complete,  explore val = 0.01, episode reward = 51.0
training episode 125 of 300 complete,  explore val = 0.01, episode reward = 447.0
training episode 126 of 300 complete,  explore val = 0.01, episode reward = 86.0
training episode 127 of 300 complete,  explore val = 0.01, episode reward = 91.0
training episode 128 of 300 complete,  explore val = 0.01, episode reward = 66.0
training episode 129 of 300 complete,  explore val = 0.01, episode reward = 56.0
training episode 130 of 300 complete,  explore val = 0.01, episode reward = 93.0
training episode 131 of 300 complete,  explore val = 0.01, episode reward = 500.0
training episode 132 of 300 complete,  explore val = 0.01, episode reward = 81.0
training episode 133 of 300 complete,  explore val = 0.01, episode reward = 274.0
training episode 134 of 300 complete,  explore val = 0.01, episode reward = 500.0
training episode 135 of 300 complete,  explore val = 0.01, episode reward = 173.0
training episode 136 of 300 complete,  explore val = 0.01, episode reward = 347.0
training episode 137 of 300 complete,  explore val = 0.01, episode reward = 135.0
training episode 138 of 300 complete,  explore val = 0.01, episode reward = 79.0
training episode 139 of 300 complete,  explore val = 0.01, episode reward = 115.0
