training episode 95 of 1000 complete,  explore val = 0.01, episode reward = 70.0
training episode 96 of 1000 complete,  explore val = 0.01, episode reward = 71.0
training episode 97 of 1000 complete,  explore val = 0.01, episode reward = 96.0
training episode 98 of 1000 complete,  explore val = 0.01, episode reward = 38.0
training episode 99 of 1000 complete,  explore val = 0.01, episode reward = 44.0
training episode 100 of 1000 complete,  explore val = 0.01, episode reward = 181.0
training episode 101 of 1000 complete,  explore val = 0.01, episode reward = 55.0
training episode 102 of 1000 complete,  explore val = 0.01, episode reward = 41.0
training episode 103 of 1000 complete,  explore val = 0.01, episode reward = 109.0
training episode 104 of 1000 complete,  explore val = 0.01, episode reward = 78.0
training episode 105 of 1000 complete,  explore val = 0.01, episode reward = 82.0
training episode 106 of 1000 complete,  explore val = 0.01, episode reward = 51.0
training episode 107 of 1000 complete,  explore val = 0.01, episode reward = 41.0
training episode 108 of 1000 complete,  explore val = 0.01, episode reward = 30.0
training episode 109 of 1000 complete,  explore val = 0.01, episode reward = 43.0
training episode 110 of 1000 complete,  explore val = 0.01, episode reward = 57.0
training episode 111 of 1000 complete,  explore val = 0.01, episode reward = 59.0
training episode 112 of 1000 complete,  explore val = 0.01, episode reward = 50.0
training episode 113 of 1000 complete,  explore val = 0.01, episode reward = 46.0
training episode 114 of 1000 complete,  explore val = 0.01, episode reward = 168.0
training episode 115 of 1000 complete,  explore val = 0.01, episode reward = 57.0
training episode 116 of 1000 complete,  explore val = 0.01, episode reward = 105.0
training episode 117 of 1000 complete,  explore val = 0.01, episode reward = 31.0
training episode 118 of 1000 complete,  explore val = 0.01, episode reward = 74.0
training episode 119 of 1000 complete,  explore val = 0.01, episode reward = 80.0
training episode 120 of 1000 complete,  explore val = 0.01, episode reward = 58.0
training episode 121 of 1000 complete,  explore val = 0.01, episode reward = 50.0
training episode 122 of 1000 complete,  explore val = 0.01, episode reward = 80.0
training episode 123 of 1000 complete,  explore val = 0.01, episode reward = 89.0
training episode 124 of 1000 complete,  explore val = 0.01, episode reward = 186.0
training episode 125 of 1000 complete,  explore val = 0.01, episode reward = 45.0
training episode 126 of 1000 complete,  explore val = 0.01, episode reward = 57.0
training episode 127 of 1000 complete,  explore val = 0.01, episode reward = 58.0
training episode 128 of 1000 complete,  explore val = 0.01, episode reward = 56.0
training episode 129 of 1000 complete,  explore val = 0.01, episode reward = 46.0
training episode 130 of 1000 complete,  explore val = 0.01, episode reward = 236.0
training episode 131 of 1000 complete,  explore val = 0.01, episode reward = 51.0
training episode 132 of 1000 complete,  explore val = 0.01, episode reward = 59.0
training episode 133 of 1000 complete,  explore val = 0.01, episode reward = 62.0
training episode 134 of 1000 complete,  explore val = 0.01, episode reward = 207.0
training episode 135 of 1000 complete,  explore val = 0.01, episode reward = 206.0
training episode 136 of 1000 complete,  explore val = 0.01, episode reward = 86.0
training episode 137 of 1000 complete,  explore val = 0.01, episode reward = 71.0
training episode 138 of 1000 complete,  explore val = 0.01, episode reward = 66.0
training episode 139 of 1000 complete,  explore val = 0.01, episode reward = 234.0
training episode 140 of 1000 complete,  explore val = 0.01, episode reward = 52.0
training episode 141 of 1000 complete,  explore val = 0.01, episode reward = 49.0
training episode 142 of 1000 complete,  explore val = 0.01, episode reward = 63.0
training episode 143 of 1000 complete,  explore val = 0.01, episode reward = 55.0
