episode 75 of 1000 complete,  explore val = 0.01, episode reward = 48.0, ave reward = 48.0
episode 76 of 1000 complete,  explore val = 0.01, episode reward = 30.0, ave reward = 30.0
episode 77 of 1000 complete,  explore val = 0.01, episode reward = 8.0, ave reward = 8.0
episode 78 of 1000 complete,  explore val = 0.01, episode reward = 39.0, ave reward = 39.0
episode 79 of 1000 complete,  explore val = 0.01, episode reward = 8.0, ave reward = 8.0
episode 80 of 1000 complete,  explore val = 0.01, episode reward = 15.0, ave reward = 15.0
episode 81 of 1000 complete,  explore val = 0.01, episode reward = 31.0, ave reward = 31.0
episode 82 of 1000 complete,  explore val = 0.01, episode reward = 56.0, ave reward = 56.0
episode 83 of 1000 complete,  explore val = 0.01, episode reward = 43.0, ave reward = 43.0
episode 84 of 1000 complete,  explore val = 0.01, episode reward = 16.0, ave reward = 16.0
episode 85 of 1000 complete,  explore val = 0.01, episode reward = 53.0, ave reward = 53.0
episode 86 of 1000 complete,  explore val = 0.01, episode reward = 17.0, ave reward = 17.0
episode 87 of 1000 complete,  explore val = 0.01, episode reward = 28.0, ave reward = 28.0
episode 88 of 1000 complete,  explore val = 0.01, episode reward = 47.0, ave reward = 47.0
episode 89 of 1000 complete,  explore val = 0.01, episode reward = 17.0, ave reward = 17.0
episode 90 of 1000 complete,  explore val = 0.01, episode reward = 32.0, ave reward = 32.0
episode 91 of 1000 complete,  explore val = 0.01, episode reward = 24.0, ave reward = 24.0
episode 92 of 1000 complete,  explore val = 0.01, episode reward = 23.0, ave reward = 23.0
episode 93 of 1000 complete,  explore val = 0.01, episode reward = 27.0, ave reward = 27.0
episode 94 of 1000 complete,  explore val = 0.01, episode reward = 47.0, ave reward = 47.0
episode 95 of 1000 complete,  explore val = 0.01, episode reward = 100.0, ave reward = 100.0
episode 96 of 1000 complete,  explore val = 0.01, episode reward = 103.0, ave reward = 103.0
episode 97 of 1000 complete,  explore val = 0.01, episode reward = 37.0, ave reward = 37.0
episode 98 of 1000 complete,  explore val = 0.01, episode reward = 19.0, ave reward = 19.0
episode 99 of 1000 complete,  explore val = 0.01, episode reward = 26.0, ave reward = 26.0
episode 100 of 1000 complete,  explore val = 0.01, episode reward = 14.0, ave reward = 14.0
episode 101 of 1000 complete,  explore val = 0.01, episode reward = 74.0, ave reward = 26.0
episode 102 of 1000 complete,  explore val = 0.01, episode reward = 22.0, ave reward = 26.0
episode 103 of 1000 complete,  explore val = 0.01, episode reward = 53.0, ave reward = 26.5
episode 104 of 1000 complete,  explore val = 0.01, episode reward = 22.0, ave reward = 26.3
episode 105 of 1000 complete,  explore val = 0.01, episode reward = 28.0, ave reward = 26.5
episode 106 of 1000 complete,  explore val = 0.01, episode reward = 20.0, ave reward = 26.6
episode 107 of 1000 complete,  explore val = 0.01, episode reward = 47.0, ave reward = 27.0
episode 108 of 1000 complete,  explore val = 0.01, episode reward = 116.0, ave reward = 28.0
episode 109 of 1000 complete,  explore val = 0.01, episode reward = 63.0, ave reward = 28.6
episode 110 of 1000 complete,  explore val = 0.01, episode reward = 90.0, ave reward = 28.8
episode 111 of 1000 complete,  explore val = 0.01, episode reward = 23.0, ave reward = 28.7
episode 112 of 1000 complete,  explore val = 0.01, episode reward = 16.0, ave reward = 28.7
episode 113 of 1000 complete,  explore val = 0.01, episode reward = 22.0, ave reward = 28.9
episode 114 of 1000 complete,  explore val = 0.01, episode reward = 57.0, ave reward = 29.2
episode 115 of 1000 complete,  explore val = 0.01, episode reward = 12.0, ave reward = 28.8
episode 116 of 1000 complete,  explore val = 0.01, episode reward = 454.0, ave reward = 33.1
episode 117 of 1000 complete,  explore val = 0.01, episode reward = 27.0, ave reward = 33.3
episode 118 of 1000 complete,  explore val = 0.01, episode reward = 34.0, ave reward = 33.6
episode 119 of 1000 complete,  explore val = 0.01, episode reward = 55.0, ave reward = 34.0
episode 120 of 1000 complete,  explore val = 0.01, episode reward = 24.0, ave reward = 33.8
episode 121 of 1000 complete,  explore val = 0.01, episode reward = 42.0, ave reward = 33.9
episode 122 of 1000 complete,  explore val = 0.01, episode reward = 27.0, ave reward = 34.1
episode 123 of 1000 complete,  explore val = 0.01, episode reward = 26.0, ave reward = 34.0
episode 124 of 1000 complete,  explore val = 0.01, episode reward = 65.0, ave reward = 34.5
episode 125 of 1000 complete,  explore val = 0.01, episode reward = 31.0, ave reward = 34.7
episode 126 of 1000 complete,  explore val = 0.01, episode reward = 25.0, ave reward = 34.7
episode 127 of 1000 complete,  explore val = 0.01, episode reward = 28.0, ave reward = 34.3
episode 128 of 1000 complete,  explore val = 0.01, episode reward = 27.0, ave reward = 34.2
episode 129 of 1000 complete,  explore val = 0.01, episode reward = 19.0, ave reward = 34.2
episode 130 of 1000 complete,  explore val = 0.01, episode reward = 68.0, ave reward = 34.7
episode 131 of 1000 complete,  explore val = 0.01, episode reward = 81.0, ave reward = 34.9
episode 132 of 1000 complete,  explore val = 0.01, episode reward = 34.0, ave reward = 35.0
episode 133 of 1000 complete,  explore val = 0.01, episode reward = 36.0, ave reward = 34.9
episode 134 of 1000 complete,  explore val = 0.01, episode reward = 24.0, ave reward = 35.0
episode 135 of 1000 complete,  explore val = 0.01, episode reward = 76.0, ave reward = 35.6
episode 136 of 1000 complete,  explore val = 0.01, episode reward = 102.0, ave reward = 36.3
episode 137 of 1000 complete,  explore val = 0.01, episode reward = 50.0, ave reward = 36.6
episode 138 of 1000 complete,  explore val = 0.01, episode reward = 26.0, ave reward = 35.9
episode 139 of 1000 complete,  explore val = 0.01, episode reward = 25.0, ave reward = 35.9
episode 140 of 1000 complete,  explore val = 0.01, episode reward = 70.0, ave reward = 36.5
episode 141 of 1000 complete,  explore val = 0.01, episode reward = 31.0, ave reward = 36.7
episode 142 of 1000 complete,  explore val = 0.01, episode reward = 30.0, ave reward = 36.9
episode 143 of 1000 complete,  explore val = 0.01, episode reward = 18.0, ave reward = 36.7
episode 144 of 1000 complete,  explore val = 0.01, episode reward = 17.0, ave reward = 36.8
episode 145 of 1000 complete,  explore val = 0.01, episode reward = 55.0, ave reward = 37.2
episode 146 of 1000 complete,  explore val = 0.01, episode reward = 44.0, ave reward = 37.6
episode 147 of 1000 complete,  explore val = 0.01, episode reward = 38.0, ave reward = 37.7
episode 148 of 1000 complete,  explore val = 0.01, episode reward = 21.0, ave reward = 37.9
episode 149 of 1000 complete,  explore val = 0.01, episode reward = 25.0, ave reward = 37.9
