episode 75 of 1000 complete,  explore val = 0.01, episode reward = 38.0, ave reward = 38.0
episode 76 of 1000 complete,  explore val = 0.01, episode reward = 93.0, ave reward = 93.0
episode 77 of 1000 complete,  explore val = 0.01, episode reward = 78.0, ave reward = 78.0
episode 78 of 1000 complete,  explore val = 0.01, episode reward = 46.0, ave reward = 46.0
episode 79 of 1000 complete,  explore val = 0.01, episode reward = 286.0, ave reward = 286.0
episode 80 of 1000 complete,  explore val = 0.01, episode reward = 50.0, ave reward = 50.0
episode 81 of 1000 complete,  explore val = 0.01, episode reward = 30.0, ave reward = 30.0
episode 82 of 1000 complete,  explore val = 0.01, episode reward = 11.0, ave reward = 11.0
episode 83 of 1000 complete,  explore val = 0.01, episode reward = 10.0, ave reward = 10.0
episode 84 of 1000 complete,  explore val = 0.01, episode reward = 34.0, ave reward = 34.0
episode 85 of 1000 complete,  explore val = 0.01, episode reward = 40.0, ave reward = 40.0
episode 86 of 1000 complete,  explore val = 0.01, episode reward = 53.0, ave reward = 53.0
episode 87 of 1000 complete,  explore val = 0.01, episode reward = 47.0, ave reward = 47.0
episode 88 of 1000 complete,  explore val = 0.01, episode reward = 20.0, ave reward = 20.0
episode 89 of 1000 complete,  explore val = 0.01, episode reward = 8.0, ave reward = 8.0
episode 90 of 1000 complete,  explore val = 0.01, episode reward = 52.0, ave reward = 52.0
episode 91 of 1000 complete,  explore val = 0.01, episode reward = 74.0, ave reward = 74.0
episode 92 of 1000 complete,  explore val = 0.01, episode reward = 42.0, ave reward = 42.0
episode 93 of 1000 complete,  explore val = 0.01, episode reward = 42.0, ave reward = 42.0
episode 94 of 1000 complete,  explore val = 0.01, episode reward = 65.0, ave reward = 65.0
episode 95 of 1000 complete,  explore val = 0.01, episode reward = 36.0, ave reward = 36.0
episode 96 of 1000 complete,  explore val = 0.01, episode reward = 30.0, ave reward = 30.0
episode 97 of 1000 complete,  explore val = 0.01, episode reward = 57.0, ave reward = 57.0
episode 98 of 1000 complete,  explore val = 0.01, episode reward = 30.0, ave reward = 30.0
episode 99 of 1000 complete,  explore val = 0.01, episode reward = 22.0, ave reward = 22.0
episode 100 of 1000 complete,  explore val = 0.01, episode reward = 23.0, ave reward = 23.0
episode 101 of 1000 complete,  explore val = 0.01, episode reward = 45.0, ave reward = 66.2
episode 102 of 1000 complete,  explore val = 0.01, episode reward = 28.0, ave reward = 66.5
episode 103 of 1000 complete,  explore val = 0.01, episode reward = 23.0, ave reward = 66.3
episode 104 of 1000 complete,  explore val = 0.01, episode reward = 30.0, ave reward = 66.4
episode 105 of 1000 complete,  explore val = 0.01, episode reward = 35.0, ave reward = 66.6
episode 106 of 1000 complete,  explore val = 0.01, episode reward = 43.0, ave reward = 66.8
episode 107 of 1000 complete,  explore val = 0.01, episode reward = 50.0, ave reward = 67.1
episode 108 of 1000 complete,  explore val = 0.01, episode reward = 48.0, ave reward = 67.4
episode 109 of 1000 complete,  explore val = 0.01, episode reward = 68.0, ave reward = 67.2
episode 110 of 1000 complete,  explore val = 0.01, episode reward = 40.0, ave reward = 67.4
episode 111 of 1000 complete,  explore val = 0.01, episode reward = 37.0, ave reward = 66.8
episode 112 of 1000 complete,  explore val = 0.01, episode reward = 71.0, ave reward = 66.6
episode 113 of 1000 complete,  explore val = 0.01, episode reward = 55.0, ave reward = 67.1
episode 114 of 1000 complete,  explore val = 0.01, episode reward = 49.0, ave reward = 67.0
episode 115 of 1000 complete,  explore val = 0.01, episode reward = 65.0, ave reward = 66.2
episode 116 of 1000 complete,  explore val = 0.01, episode reward = 71.0, ave reward = 66.5
episode 117 of 1000 complete,  explore val = 0.01, episode reward = 57.0, ave reward = 67.0
episode 118 of 1000 complete,  explore val = 0.01, episode reward = 75.0, ave reward = 67.4
